HD\Step(V) ,0.0(V),2.00(V),2.10(V),2.20(V),2.30(V),2.40(V),2.50(V),2.55(V),2.60(V),2.65(V),2.70(V),2.75(V),2.80(V),2.85(V),2.90(V),2.95(V),3.00(V),3.05(V),3.10(V),3.15(V),3.20(V),3.25(V),3.30(V),3.35(V),3.40(V),
27.Y5GE230F,0,0.0229782191106822,0.0353169540833624,0.240082107805068,0.0357317700357826,0.0377571443452869,0.134822707056509,0.109076316610298,0.417092836336874,0.280093246310739,0.386557828852848,0.39707922908892,0.521526202312081,0.646971183329479,0.493467510926213,0.645217102683056,0.647738845593052,0.868699305879753,0.859243638794893,0.833993180456079,0.903422807755073,0.899348363675038,0.98515242311549,1,0.993332517685934,
28.Y5GE230G,0,0.0610988260466009,0.0643742193063044,0.081096654698035,0.0760070175934443,0.0847490466759911,0.0508427575195113,0.105907318026913,0.0755244399618459,0.0993037417586241,0.217749736565868,0.206489843615653,0.437792712148891,0.180896959584654,0.443166113852821,0.428238542542802,0.658434362680678,0.906141242574297,0.920147060176249,0.897888232390356,0.971019132554397,0.944518556787863,0.99279245878028,0.975270243541958,1,
29.Y5GE2303,0,0.0258261229533928,0.0287254609149802,0.0327174924522214,0.0392127620923017,0.120820325304885,0.122483559881647,0.14249376447759,0.123334917922195,0.178577237382796,0.152935598012901,0.140724052340138,0.158149521024007,0.283496161162,0.600640883293495,0.610677659674423,0.724974079873275,0.709343040367172,0.712663848830016,0.696940814258758,0.705090752422858,0.901379879382713,1,0.97734215136411,0.975487244966225,
30.Y5GE2302,0,0.0484227421972542,0.0572874412821206,0.0581079466193415,0.0606336388822655,0.067094286802236,0.0578488213844167,0.0634650980887095,0.0770494278667456,0.0684478074544116,0.0525321861030036,0.172428141496415,0.131420939958178,0.157929401938185,0.150231442140712,0.158386819881602,0.234074523561317,0.442411042384896,0.596285502195562,1,0.941715943961977,0.913587218154304,0.940989437736349,0.969565612404495,0.967875287262566,
31.Y5GE230L,0,0.00862281708816202,0.00650093438180475,0.0185875733009073,0.0157501430945243,0.0329202691765668,0.0300783077126613,0.0394815082509062,0.0251295703250435,0.0387750724237339,0.0429453499128855,0.0381111943004089,0.0983437372236495,0.116850288010756,0.142914853459479,0.207325276594298,0.244025625153428,0.629351437214569,1,0.991732957200171,0.992849881385415,0.976162712363196,0.896628019276279,0.882721536761851,0.918076369243528,
32.Y5GE230K,0,0.0186406694221128,0.0740392522865007,0.0683000316124027,0.146098523797197,0.140528409004474,0.13798926193486,0.132161736885401,0.156482394346701,0.180602891971793,0.450618793081211,0.537771528596251,0.548623816216438,0.562245428452538,0.587226999195672,0.857461117079579,0.830613766112906,0.972028021673112,0.769699028045515,0.727585389060686,0.8404106859867,0.78629624154248,1,0.965202412517413,0.995335288734439,
33.Y5GE230J,0,0.0157380533062666,0.0132516290673467,0.0339933025137927,0.0294457616516019,0.0424911285617983,0.055699281196821,0.0533591999984692,0.054250297971553,0.0434062950563819,0.0765904224839378,0.087525026138173,0.132326036798366,0.112543526756369,0.13707681582601,0.200334727606541,0.335313570197307,0.335213256230887,0.474733533569241,0.47996538316371,0.678051681159632,0.822407169887732,0.928035427982123,1,0.968749538851466,
34.Y5GE230H,0,0.023541721877496,0.0464201194950735,0.0440833264843483,0.12570698453032,0.129635570548867,0.128075943258041,0.124906278300161,0.144252837116141,0.133578549989743,0.173121370355962,0.192133126948961,0.216985731612666,0.183339341363169,0.182549197460832,0.239424614688727,0.526196704130779,0.479404832081902,0.756289019158303,0.762892511123951,0.9331353143487,1,0.927673534235841,0.985662755664432,0.986426003299412,
35.Y5GE2304,0,0.0327674890413326,0.054660070732245,0.0660419768961203,0.067211372040512,0.0636803818944562,0.0810280827187166,0.0862577693551075,0.0827464672922232,0.106031933069595,0.0751505715291932,0.123982089062141,0.101837199857008,0.0869759413458966,0.129380480551551,0.115931813886025,0.12532062400215,0.965482067197395,0.992371689017776,0.989585799873673,1,0.964365267737007,0.929065176777051,0.943385619727568,0.988666069625022,
36.Y5GE130A,0,0.0405294966717378,0.147382334870525,0.14679803062275,0.150755533869261,0.132921556911791,0.151781656808585,0.228132459898294,0.198087087952133,0.217363358578251,0.247910531897437,0.627339734281569,0.574177035861955,0.623263227433005,0.67260350126795,0.76521404741325,0.705866590028173,0.803498935681531,0.853368356478749,0.928339514332173,0.98621821855997,1,0.997638090562074,0.988325566621511,0.997608979575056,
37.Y5GE130B,0,0.173780493541664,0.171938660968401,0.179738039432097,0.252738351968101,0.272572109933879,0.267596485799872,0.27854241628523,0.328794030157667,0.313300708815142,0.283451313731871,0.333209374240791,0.310155820426379,0.328191282574062,0.334627605847065,0.317823786396339,0.741106414402589,0.749744844211353,0.886402736345162,0.971116192634174,0.967493929841624,1,0.973992446328892,0.951596736002714,0.950666940886912,
38.Y5GE130C,0,0.0543623300156656,0.0646962134546165,0.0783510648930788,0.0865987371161892,0.0399517352628545,0.122184233438319,0.161995327523391,0.148850410559596,0.214312369025847,0.452511651217947,0.651804030703633,0.566330369603516,0.708867585507969,0.666750319613252,0.638536996069095,0.73324654170006,0.904929223503185,0.82634238335463,0.99413316676168,0.98073877250659,0.949414028640675,0.952533052473525,1,0.990472286188189,
39.Y5GE130D,0,0.0190566694544931,0.0407924895562729,0.0313133547466189,0.0441599559749973,0.162918258018322,0.17987450748278,0.195305525261704,0.165519956945839,0.215357649264841,0.232279451779193,0.558811797783942,0.586377538025768,0.664547720189202,0.667466654282363,0.700053958035368,0.735770516212949,0.898805529975924,0.899156136181413,0.96210818211008,0.969764829845798,0.978266332187843,0.926416372261356,1,0.97190729371097,
40.Y5GE130E,0,0.0282193706410746,0.0337397064517126,0.0994864692509678,0.118690909394603,0.107247730510626,0.228813914251708,0.219187129976568,0.258878836493309,0.25417844664693,0.278141950229169,0.259835714782809,0.374793130946064,0.439676632407158,0.482386751192677,0.584574082913986,0.600543666903359,0.495350800465705,0.7049960592261,0.860584173159533,0.897983327395124,0.927530873517567,0.948313635735588,0.999851815692382,1,
